age,gender,daily_social_media_hours,platform_usage,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,social_interaction_level,stress_level,anxiety_level,addiction_level,sleep_deficit,digital_overload,night_risk,mental_pressure,isolation_score,addiction_impact,lifestyle_imbalance
19,1,2.7,0,7.7,0.7,2.22,0.4,1,10,8,7,0.2999999999999998,3.4000000000000004,0.20999999999999985,18,3.4000000000000004,4.8999999999999995,3.0000000000000004
16,0,5.5,0,5.8,2.5,2.34,1.0,2,5,2,8,2.2,8.0,5.5,7,16.0,20.0,7.0
14,1,2.1,1,8.5,1.1,3.03,1.6,1,5,6,7,0.0,3.2,0.0,11,3.2,7.700000000000001,1.6
17,1,7.7,2,8.5,1.2,3.56,0.0,1,7,10,7,0.0,8.9,0.0,17,8.9,8.4,8.9
14,0,7.3,2,8.8,2.5,2.12,0.5,0,10,10,1,0.0,9.8,0.0,20,0.0,2.5,9.3
13,0,2.6,2,8.5,1.9,3.06,1.9,0,5,7,6,0.0,4.5,0.0,12,0.0,11.399999999999999,2.6
16,0,2.5,2,8.9,1.2,3.33,1.5,0,4,4,10,0.0,3.7,0.0,8,0.0,12.0,2.2
19,1,6.4,0,6.7,2.4,2.2,1.3,2,5,2,2,1.2999999999999998,8.8,3.1199999999999997,7,17.6,4.8,7.500000000000001
16,0,1.4,0,5.2,1.7,3.82,0.7,2,10,4,3,2.8,3.0999999999999996,4.76,14,6.199999999999999,5.1,2.3999999999999995
15,0,4.2,1,8.4,1.2,2.61,0.0,1,3,10,2,0.0,5.4,0.0,13,5.4,2.4,5.4
18,1,1.2,0,4.1,1.1,3.04,1.6,2,1,3,6,3.9000000000000004,2.3,4.290000000000001,4,4.6,6.6000000000000005,0.6999999999999997
18,0,2.8,1,7.4,1.0,3.73,1.9,2,7,3,6,0.5999999999999996,3.8,0.5999999999999996,10,7.6,6.0,1.9
13,1,1.6,1,4.2,1.5,3.72,1.7,1,10,1,10,3.8,3.1,5.699999999999999,11,3.1,15.0,1.4000000000000001
16,1,2.5,1,6.8,1.0,3.77,1.0,0,3,9,9,1.2000000000000002,3.5,1.2000000000000002,12,0.0,9.0,2.5
14,1,3.4,0,5.8,3.0,3.32,0.6,1,1,4,4,2.2,6.4,6.6000000000000005,5,6.4,12.0,5.800000000000001
17,1,5.9,1,7.4,1.7,2.5,0.7,0,6,7,1,0.5999999999999996,7.6000000000000005,1.0199999999999994,13,0.0,1.7,6.9
17,0,7.5,0,8.1,2.8,2.58,0.5,1,2,2,3,0.0,10.3,0.0,4,10.3,8.399999999999999,9.8
16,1,3.9,2,4.2,2.1,2.28,1.1,1,6,5,7,3.8,6.0,7.9799999999999995,11,6.0,14.700000000000001,4.9
16,1,7.6,0,6.1,0.8,3.09,1.3,2,8,4,4,1.9000000000000004,8.4,1.5200000000000005,12,16.8,3.2,7.1000000000000005
18,0,3.8,0,5.4,1.7,3.06,1.9,1,5,10,3,2.5999999999999996,5.5,4.419999999999999,15,5.5,5.1,3.6
14,0,1.7,0,8.7,0.7,3.98,0.8,0,1,1,1,0.0,2.4,0.0,2,0.0,0.7,1.5999999999999999
14,0,3.6,0,5.3,0.6,2.99,0.3,0,4,10,2,2.7,4.2,1.62,14,0.0,1.2,3.9000000000000004
13,1,7.9,2,6.0,2.7,2.85,0.3,2,9,10,3,2.0,10.600000000000001,5.4,19,21.200000000000003,8.100000000000001,10.3
16,1,5.8,0,8.9,1.1,2.08,1.9,1,8,5,9,0.0,6.9,0.0,13,6.9,9.9,5.0
14,0,3.0,2,8.3,2.7,3.9,0.7,0,3,1,5,0.0,5.7,0.0,4,0.0,13.5,5.0
14,1,1.2,0,5.2,2.2,2.19,1.9,1,9,9,4,2.8,3.4000000000000004,6.16,18,3.4000000000000004,8.8,1.5000000000000004
15,0,5.9,0,6.9,1.4,3.62,1.5,1,3,9,1,1.0999999999999996,7.300000000000001,1.5399999999999994,12,7.300000000000001,1.4,5.800000000000001
16,0,7.8,2,4.7,1.1,3.53,2.0,1,9,3,8,3.3,8.9,3.63,12,8.9,8.8,6.9
16,0,3.6,2,8.8,1.2,2.32,0.5,2,2,4,5,0.0,4.8,0.0,6,9.6,6.0,4.3
19,1,5.2,2,6.9,2.3,2.09,0.2,0,6,4,8,1.0999999999999996,7.5,2.529999999999999,10,0.0,18.4,7.3
13,1,7.8,2,5.9,1.5,3.31,1.9,0,10,1,10,2.0999999999999996,9.3,3.1499999999999995,11,0.0,15.0,7.4
18,0,2.8,2,7.0,2.9,3.91,1.1,1,9,9,1,1.0,5.699999999999999,2.9,18,5.699999999999999,2.9,4.6
15,0,1.3,2,7.6,0.6,3.46,1.9,2,1,1,4,0.40000000000000036,1.9,0.2400000000000002,2,3.8,2.4,0.0
18,0,2.5,1,6.4,2.4,2.63,0.7,2,2,2,5,1.5999999999999996,4.9,3.839999999999999,4,9.8,12.0,4.2
13,0,2.8,0,6.4,1.4,2.38,1.4,1,4,8,10,1.5999999999999996,4.199999999999999,2.2399999999999993,12,4.199999999999999,14.0,2.7999999999999994
15,0,6.9,2,8.3,2.4,3.34,1.2,0,2,4,9,0.0,9.3,0.0,6,0.0,21.599999999999998,8.100000000000001
13,1,4.6,2,7.3,1.6,2.91,0.4,2,10,5,7,0.7000000000000002,6.199999999999999,1.1200000000000003,15,12.399999999999999,11.200000000000001,5.799999999999999
18,1,5.6,0,8.0,2.4,2.95,0.0,2,2,10,3,0.0,8.0,0.0,12,16.0,7.199999999999999,8.0
18,0,3.7,0,7.9,2.7,3.11,0.3,1,6,6,5,0.09999999999999964,6.4,0.2699999999999991,12,6.4,13.5,6.1000000000000005
